信息来源,网站,搜索条件,产品/Product,产品分类/Product Category,规格型号,生产日期/通报编号/Reference,生产企业/Subject,不合格项（标准值）/Substance/Hazard,标准值,检验结果/Analytical Result,单位/Unit,发布单位/Notification from,发布日期/Date of case
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=1142745,芝麻油-污染物-全部,黑芝麻油,食用油脂及其制品-->食用植物油,420mL/瓶,2017-08-23,安徽华运超市股份有限公司蚌埠中心店,苯并[a]芘,≤10μg/kg,14.3μg/kg,,安徽市场监管局,2017-08-23
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=1247236,芝麻油-污染物-全部,纯香芝麻油,食用油脂及其制品-->食用植物油,360mL/瓶,2017-11-23,武汉武商超市管理有限公司襄阳人民广场店,苯并[a]芘,≤10μg/kg,17.7μg/kg,,湖北市场监管局,2017-11-23
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=1670254,芝麻油-污染物-全部,现场压榨油(芝麻油),食用油脂及其制品-->食用植物油,散装,2018-03-09,嘉兴市南湖区大桥云彩农产品经营部(杨彩云),苯并(a)芘,≤10μg/kg,13.0μg/kg,,浙江市场监管局,2018-03-09
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=1825726,芝麻油-污染物-全部,芝麻油,食用油脂及其制品-->食用植物油,400ml,2018-06-15,西宁润良商业有限公司,苯并[a]芘,10μg/kg,25.8μg/kg,,青海市场监管局,2018-06-15
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=1894327,芝麻油-污染物-全部,久滋香小磨芝麻油,食用油脂及其制品-->食用植物油,500ml/瓶,2018-06-27,泰州市高港区润良商业有限公司,苯并[a]芘,≤10μg/kg,18μg/kg,,江苏市场监管局,2018-06-27
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=1951183,芝麻油-污染物-全部,纯黑芝麻油,食用油脂及其制品-->食用植物油,230ml赠6ml/瓶,2018-07-20,西宁润良商业有限公司,苯并[a]芘,10μg/kg,17.1μg/kg,,青海市场监管局,2018-07-20
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=1974623,芝麻油-污染物-全部,芝麻油,食用油脂及其制品-->食用植物油,400ml/瓶,2018-08-01,安徽华运超市股份有限公司蚌埠通成紫都店,苯并[a]芘,≤10μg/kg,30.7μg/kg,,安徽市场监管局,2018-08-01
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=1974622,芝麻油-污染物-全部,芝麻油,食用油脂及其制品-->食用植物油,400ml/瓶,2018-08-01,安徽华运超市股份有限公司蚌埠通成紫都店,苯并[a]芘,≤10μg/kg,31.4μg/kg,,安徽市场监管局,2018-08-01
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=1974621,芝麻油-污染物-全部,芝麻油（黑芝麻油）,食用油脂及其制品-->食用植物油,400ml/瓶,2018-08-01,安徽华运超市股份有限公司蚌埠通成紫都店,苯并[a]芘,≤10μg/kg,31.5μg/kg,,安徽市场监管局,2018-08-01
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=1974624,芝麻油-污染物-全部,芝麻油,食用油脂及其制品-->食用植物油,220mL/瓶,2018-08-01,安徽华运超市股份有限公司蚌埠中心店,苯并[a]芘,≤10μg/kg,19μg/kg,,安徽市场监管局,2018-08-01
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=2092515,芝麻油-污染物-全部,小磨黑芝麻油,食用油脂及其制品-->食用植物油,448ml/瓶,2018-09-19,泰州世纪联华商业有限公司海陵店,苯并[a]芘,≤10μg/kg,16μg/kg,,江苏市场监管局,2018-09-19
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=2249241,芝麻油-污染物-全部,纯黑芝麻油,食用油脂及其制品-->食用植物油,230ml赠6ml/瓶,2018-11-23,兴海县德吉商贸有限责任公司,苯并[a]芘,10μg/kg,37μg/kg,,青海市场监管局,2018-11-23
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=2309963,芝麻油-污染物-全部,芝麻油（小磨香油）,食用油脂及其制品-->食用植物油,230ml/瓶,2018-12-05,安阳县水晶超市有限责任公司水晶购物广场,苯并[a]芘,≤10μg/kg,18.5μg/kg,,河南市场监管局,2018-12-05
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=2525734,芝麻油-污染物-全部,纯芝麻油,食用油脂及其制品-->食用植物油,420ml/瓶,2019-01-15,江宁区东山新华南北货经营部,苯并［a］芘,≤10μg/kg,37.0μg/kg,,国家市场监管总局,2019-01-15
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=2640214,芝麻油-污染物-全部,纯芝麻油,食用油脂及其制品-->食用植物油,400ml 赠8ml/瓶,2019-03-28,西宁大十字百货商店有限公司大众店,苯并［a］芘,≤10μg/kg,12.1μg/kg,,国家市场监管总局,2019-03-28
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=2819031,芝麻油-污染物-全部,富川黑芝麻油,食用油脂及其制品-->食用植物油,2000ml（500ml×4）/盒 ,2019-07-04,武汉中商超市连锁有限公司咸宁店 ,苯并[a]芘,≤10μg/kg,38.1μg/kg,,湖北市场监管局,2019-07-04
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=3384365,芝麻油-污染物-全部,芝麻油,食用油脂及其制品-->食用植物油,350ml/瓶 ,2020-03-19,四川阳光盛源商业有限公司公园广场购物中心 ,苯并[a]芘,≤10μg/kg,27.4μg/kg,,四川市场监管局,2020-03-19
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=3519261,芝麻油-污染物-全部,芝麻油,食用油脂及其制品-->食用植物油,散装 ,2020-05-20,滕州市龙泉学堂副食部 ,苯并[a]芘，μg/kg,≤10μg/kg,14.1μg/kg,,山东市场监管局,2020-05-20
